,Text
220,"RT @Bobrovska_MP: So. Belarus is officially in. Before that, Lukashenko allowed using the territory of Belarus for the moving of Russian tr…"
221,NO WAR https://t.co/RfHDVbDGsu
222,RT @Regendelfin: Putins WhatsApp Gruppe „Propaganda-Marionetten“ war heute morgen wohl etwas in Eile. Für die üblichen individuellen Umform…
223,RT @KoosdlRey: The Russian Yevgeny Maximov on his return from the Second Boer War dressed in the uniform of a Transvaal general. A friend o…
224,https://t.co/pDws64Goa0 忌まわしい時代の陰惨な施設が，図らずも役に立ってるという話．
225,"RT @gvprakash: The root of all evil is abuse of power …. 

STOP THE WAR PUTIN …. 

I STAND WITH THE PEOPLE OF UKRAINE

 #WeStandWithUkraine…"
226,"RT @ikhurshudyan: Talked to Kharkiv’s mayor this morning. He said Ukrainian authorities still control the city, but it’s being surrounded b…"
227,@BILD Hoffentlich war das Datum bei den Weißwürsten nicht abgelaufen 🤔
228,"RT @AKirilenko_True: More shelling in Mariupol. Just spoke with my mom. She said goodbye. Her part of town has been evacuated, but she is s…"
229,"RT @b_judah: I am horrified it needs to be stated a ""No Fly Zone"" is a catastrophically stupid and would involve direct aerial combat with…"
230,RT @Reuters: Russian billionaire Fridman says: Ukraine war should stop https://t.co/u1UiMipwML https://t.co/Fvn7ZKWjd8
231,RT @ThePubliusUSA: Russia killed 16 children yesterday in its senseless and unjustified war against Ukraine. Vladimir Putin is a monster.
232,"RT @richimedhurst: They're not even hiding it anymore. They think that war is okay as long as it's happening in a ""third world country"""
233,"RT @Axumawii: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential consequenc…"
234,"RT @wowarriors_io: WoWarriors is launching the #peace campaign. 

Get 777 FREE limited edition 'PEACEVVERSE' #NFT to unlock future perks on…"
235,"RT @BitKeepOS: 🎊BitKeep x @Anon_Metaverse  x Libra Jackpot Blind Box event. The Jackpot blind boxes worth $14,000 are waiting for you!

📌Re…"
236,"@MedvedevRussiaE It is Russia that should be afraid of war, not us! You are very weak economically and militarily compared to NATO and the EU."
237,"@orlyuk @2106sb @freedomNOW85 @IAPonomarenko Shutting down Kremlin?
How??
How do you propose anyone shut down Kremlin? You don't think they have back up War Room? We do. Who doesn't?

Anonymous @YourAnonOne hackers did what they could.

USA, EU, or any NATO country goes near Kremlin, Putin PROMISES to use nuclear weapons."
238,"RT @ManOnelife: ปูตินบอกโลกว่า “This is not a WAR, it’s called Special Military Operation!” เหมือนกันล่ะครับ ที่ตอนนี้ปูตินประณามยุโรปอย่าง…"
239,"RT @Amaka_Ekwo: Hello @NATO, Africans haven’t forgotten your role in the death of Gaddafi and the destruction of Libya.
#UkraineWar 

@UN,…"
240,RT @PPC_MelissaB: Friendly reminder: Provinces still have emergency powers. Feds are still forcing mandates on the Canadian people and chis…
241,RT @AlanSalehzadeh: Belarus joins Russia’s war on Ukraine https://t.co/NIWoRgf6pk
242,RT @DrDignity: Why Vladimir Putin has already lost this war | Yuval Noah Harari https://t.co/8KfSLK5vNg
243,"RT @googleeurope: Due to the ongoing war in Ukraine, we’re blocking YouTube channels connected to RT and Sputnik across Europe, effective i…"
244,"RT @AdityaRajKaul: Maharaja of Jamnagar in Gujarat helped save 1000 Polish Children during World War II by giving them shelter. 🇮🇳

Today 8…"
245,RT @MettaBhavana1: Why is Ben Roberts-Smith not on trail for war crimes and murder?
246,"I haven’t seen a Kill all Men, or A Women’s power, or even Men ain’t Shid post in a Minute. Seems like something major is happening maybe War"
247,"RT @prasant97605275: One Indian student shot dead in the #war in #ukraine . Identified as Naveen from Karnataka, his friends said they had…"
248,"@carlolinks He should and the party should have years ago.
In the same way I am disheartened to see our Govt support a war criminal (starting with Aleppo in Syria) on the global stage.
Both fcking suck."
249,"@tristangrayedi I just don't believe nuclear war is an even remotely likely outcome, and us not being actively involved at all is appeasing him and allowing him to roll though non-nato Europe as he pleases. Western paranoia about full blown nuclear holocaust is overblown giving him a pass"
250,"Russia-Ukraine War: रूस-यूक्रेन की गोलीबारी में भारतीय छात्र की मौत https://t.co/KhHEGCzLMg 
#Ukraine #UkraineRussiaWar #Russia #PMModi #worldwar3 #war #hindinews #latestnews #hindinews"
251,@Nidhi What did Nato do to stop the war? They were showing grapes to Ukraine knowing fully that Putin will go for the worse. You shd dig deep into this #UkraineRussiaWar Don't get just get carried with adjectives. Yes GOI shd help our citizens in Ukraine for safe evacuation.
252,"RT @kylegriffin1: THE HAGUE, Netherlands (AP) — International Criminal Court prosecutor to open probe into possible war crimes or crimes ag…"
253,"RT @amanpour: As the civilian population of Ukraine is being bombarded, President Zelensky is showing that he will not leave his people at…"
254,RT @Reuters: The moment dozens of diplomats from the European Union and United States walked out of a speech by Russian Foreign Minister Se…
255,"@ro_kazi @AbdumonafRM1 @_chatter_boxx @Abdulha23526169 @Almasoomeen @aryavinaykumar @Dadduu__Charger @gadgor1 @jason_corcoran @lapatina_ @syedmanishah Dear pal, do you understand the difference between full scare war and attacks? Ukraine is total war, tanks running around all ur cities 24/7. And with Russia having allies like China, what stops Putin from getting further into Europe if he gets Ukraine? Ppl are afraid of WW3"
256,RT @Sara_Gerie: The atrocities committed in the 16 months-long war on #Tigray are underreported due to lack of access. Lack of communicatio…
257,"AFP soldiers and MILF fighters are locked in armed conflict in Maguing, Lanao del Sur. This could escalate into guerilla war."
258,RT @tigray_salam: The Ethiopian government and its allies blocked internet access to millions in Tigray for more than a year to hide war cr…
259,RT @annettedittert: This is as wrong as claiming Labour could „make Brexit work.“. Astonishing. https://t.co/FsYFUPXhKT
260,"RT @MnarMuh: In 2002, the US passed the Hague Invasion Act that says the US can invade the Netherlands if the International Criminal Court…"
261,RT @MuhamadAfzalECP: Complicit in War Crimes
262,"RT @wowarriors_io: WoWarriors is launching the #peace campaign. 

Get 777 FREE limited edition 'PEACEVVERSE' #NFT to unlock future perks on…"
263,@Outsideness They're even pulling up old footage in addition to running a war. Either they're not getting enough footage from the war or they're planning something big? 🤔
264,"RT @JosepBorrellF: To the Belarusian people: many of you took huge personal risks struggling for a free and democratic Belarus.

Now you ar…"
265,"@Arunstockguru #Ukraine - #Russia war क्या आने वाली है मंदी , कैसे करें intraday trade, पोर्टफ़ोलियो बनाएं या बेच दें सब स्टॉक्स  ?

देखे युद्ध के समय के बाजारों के पूरा एनालिसिस ..!

https://t.co/F2Zq1NYWCn

#stockmarkets
#NIFTYFUTURE https://t.co/6Em4mcCNBN"
266,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
267,RT @wmilosz: DO NOT SIGN THIS PETITION OR FILL OUT ANY FORMS ON THE WEBSITE  https://t.co/z6UEz64Y0u. It was created by the Polish fundamen…
268,"RT @CBSNews: A regional leader in Ukraine's second biggest city, Kharkiv, said Monday at least 11 civilians were killed and dozens injured…"
269,RT @DrSirera: We are in the real danger of a war declaration of Russia to Poland in 48 hours. Ukraine is losing the war (The war is not the…
270,"RT @IbnKhayyam: What happened then? The US:

- hightailed it out of Afghanistan
- sanctioned Pakistan, its own ally
- left Afghanistan's ci…"
271,"RT @nicktolhurst: I don't know how to communicate this so people understand.

What you are going to see in Kyiv in the next few days is goi…"
272,"RT @IAPonomarenko: It looks like Belarusian military has finally joined Putin’s war.
Not surprising at all, but this is so sorry to see."
273,"""We are here today in the dark shadow cast by Putin's war... a war we did not provoke, a war we did not start""

European Parliament President Roberta Metsola condemns Russian military aggression against Ukraine"
274,"RT @amanpour: As the civilian population of Ukraine is being bombarded, President Zelensky is showing that he will not leave his people at…"
275,"RT @terischultz: ""This is geopolitical terrorism pure and simple.""

EU Council President Charles Michel, saying the Russian invasion of #Uk…"
276,"RT @washingtonpost: Indian, Algerian students killed in Ukraine; others stranded during Russia’s invasion beg for help 
https://t.co/PYn1pl…"
277,"RT @Dominic2306: A No Fly Zone enforced by NATO is an act of war that could *easily start A NUCLEAR WAR*. 
It is INSANE &amp; coming from many…"
278,"RT @davidrkadler: This is, again, not a controversial position. Every credible political economist will tell you this. But the war is whipp…"
279,"RT @DunsinOyekan: In 2021,the Lord began speaking to me about 2022.He gave me sounds for the season we are entering into across the world a…"
280,"RT @HowardStaunton: “Chess, like war, has the power to make men Nazis.”
Aron Putimzowitsch, ‘My Fascism’  
#realchessquotes  🇺🇦 https://t.c…"
281,"RT @cbkwgl: I am confident of India's performance in a war with Barkistan or China now. Now, I can sleep contented that...we can never win…"
282,RT @sebashurtado: Why Vladimir Putin has already lost this war | Yuval Noah Harari https://t.co/WdwYSCObAj
283,"RT @LuvofW: สั้นๆเลยนะ ผัดสัว!! จบ😭😭😭😭

War Wanarat #warwanarat @warwanarat https://t.co/UhaYXQhH4N"
284,ADUH GUA KOK MULES MAU WAR?
285,RT @NikaMelkozerova: Dear journalists. I am no longer making you content for free. I have job to do. I have war in my country. Sorry.
286,RT @strategywoman: 2:09 pm in #somewhere. I’ve made a strong decision that the first thing after the war ending I get diving license (don’t…
287,"RT @Dunglishman: @LizzyBuchan @HopeFbpe @CommonsForeign Anyone wishing to donate money to the Ukrainian war effort, please use the link bel…"
288,"RT @Condor56999467: @duty2warn Must read:

https://t.co/qoa6AGU6Ss"
289,"RT @Xhakaed: So just to be clear, it’s now ok in the U.K. to randomly pack up, go abroad and join fighting in a war the U.K. is not involve…"
290,"RT @AnimaverseNFT: Knights in The NewEarth 🌎 

They are Fearless !

They have unbelievable strength and extraordinary skills in war

Join #…"
291,RT @illegalkimjoon: Denger2 non fans bahkan non kpopers ikut war buat dijual lagi. Ges gak usa dibeli apalagi yg overprice. Sorry gua orgny…
292,"RT @MSignorile: If you have not read this enlightening and terrifying interview with Fiona Hill, you should. Every last word.

‘Yes, He Wou…"
293,"@DiyaUpadhayay @IndiainUkraine Phir bhi Libya war me 15000 rescue hue the without any issues .
The way this govt is going it's just disturbing to think how many more days will it take rescue them all with no more casualties .
I just hope the war stops somehow bcz i have no faith the way govt is working"
294,"RT @baldersdale: Close allies? Putin and Abu Dhabi's MBZ hold talks on OPEC+ strategy and ""market stability"" ahead of cartel meeting March…"
295,RT @illegalkimjoon: Denger2 non fans bahkan non kpopers ikut war buat dijual lagi. Ges gak usa dibeli apalagi yg overprice. Sorry gua orgny…
296,"RT @DesignationSix: The last time the world collectively said ""fuck you"" to one country was World War II."
297,RT @RnaudBertrand: Most fascinating thing about the Ukraine war is the sheer number of top strategic thinkers who warned for years that it…
298,"RT @DhAnAnjAyParkhe: @spectatorindex If they have guts, they should do so for all CHINESE ships too as they are the funders of this war and…"
299,"RT @AuschwitzMuseum: 1 March 1985 | A Frenchwoman Charlotte Delbo, a writer and resistance fighter during the war, died in Paris.

In #Ausc…"
300,RT @NikaMelkozerova: Dear journalists. I am no longer making you content for free. I have job to do. I have war in my country. Sorry.
301,RT @ashoswai: The Hindu Right-Wing regime has failed miserably to rescue Indian students from the war in Ukraine. One Indian student has di…
302,RT @dumbandawful: i can't believe americans are seriously getting into nuclear war prepper stuff after spending the last two years being me…
303,RT @thind_akashdeep: #IndianStudent Naveen is today passed away in Ukraine amid war between #RussiaUkraineWar He was out buying some grocer…
304,"@D_C_Tomlinson @prettypersista1 @natsechobbyist @ChrisMurphyCT @JuliaDavisNews Russia can't fight a global war.  Japan should take back its islands . Rinland its land , we should put troops into western Ukraine and defy Russia to attack ."
305,"@Scaramucci Uh, you are just realizing this now?!?   He's BEEN a war criminal.  Never understood why people were ignoring him as that."
306,@starfess lagi menunggu war bocil ngepngep sama army
307,"RT @Newsweek: 🔴 Ukrainian President Volodymyr Zelensky addresses European Union lawmakers

🔴 At least 16 children have been killed and 45 i…"
308,"RT @kylegriffin1: THE HAGUE, Netherlands (AP) — International Criminal Court prosecutor to open probe into possible war crimes or crimes ag…"
309,RT @RealRichardBail: Just a word about Canada's Freedom Convoy as it disappears from our minds &amp; memories overtaken by war. These men &amp; wom…
310,RT @MohanadElshieky: The reason people don’t empathize with refugees from non white nations is that they see war and destruction as part of…
311,@DrKumarVishwas Not expected from you ...govt is doing everything possible to bring thm back... advisory has been given still they didn't leave...it's a war situation pls don't say anything just for the sake of saying. Sometimes situation is not in our control.
312,"RT @CrapballsMcGee: Sasha chose to stay in Ukraine to take care of her animal rescues. Last night, a Russian rocket hit her home. Her son f…"
313,"RT @nytimes: President Volodymyr Zelensky of Ukraine urged the EU to grant his country immediate membership of the bloc.

He also had a mes…"
314,"RT @MuradMerali: As of right now my sympathy is not capped, it’s zero. Blocking large groups of Africans and Arabs from fleeing a war? Forc…"
315,RT @itsrichhoblyn: What you don't know about the war in Ukraine https://t.co/KUskl5nnj9
316,"RT @AndyMcDonaldMP: As midnight approaches, Tory MPs are about to vote to take away the right &amp; freedom of British citizens to protest loud…"
317,"RT @D_abdulkader: Turkey

✔️Limits Black Sea access to Russia
✔️Calls invasion a war

But

🔻Keeps airspace open to Russia
🔻Is against sanct…"
318,RT @awakeningheart: 'Ukrainian girl confronting a Russian soldier' is actually Palestine's Ahed Tamimi https://t.co/LtqZytSPRh
319,"#Ukraine @KremlinRussia stop war weapons yes, war no @Ukraine 
@UKRinBRA
@MoD_Estonia
@AndrzejDuda

https://t.co/XzqI3IBRa4 https://t.co/CVrTEPvjA3"
320,"RT @nytimes: As antiwar protests continued across Russia, the police detained at least 411 people in 13 cities on Monday, an activist group…"
321,RT @wmilosz: DO NOT SIGN THIS PETITION OR FILL OUT ANY FORMS ON THE WEBSITE  https://t.co/z6UEz64Y0u. It was created by the Polish fundamen…
322,"RT @WARFOREVER37: เฮียวอร์ขากับขนมของเค้า🍫🍭

IG : warwanarat

War Wanarat #warwanarat @warwanarat #หยิ่นวอร์ https://t.co/UbB2CeM7UK"
323,"RT @mdnij34: Well, The war certainly took our minds off classified documents taken from the WH."
324,"RT @ww3daily: Brave man in China protesting against war in Ukraine asking ""which law did I break"" when stopped by police. 🇺🇦💛

#Russia #Ukr…"
325,"RT @yinwarofficial: ร่วมทำบุญกับ #หยิ่นวอร์ กันค่ะทุกคน
ซื้อครบ 1500 บาท ได้รับกระเป๋าผ้าลายออกแบบโดยหยิ่นวอร์ และได้ร่วมสมทบทุนกับลาเนจ Bl…"
326,"@Reuters Russian war, Russian aggression … and later on what you wanted to say?"
327,RT @SolomonYue: #Putler is a war criminal!!!
328,"RT @GergelyOrosz: At EPAM, a company that has more than 10K employees in Ukraine, but also ones in Russia and Belarus, massive internal con…"
329,RT @jk_rowling: War shatters childhoods and tears families apart. @lumos has launched an appeal to help the c100k children trapped in orpha…
330,"@SuperMagicBarry @Anonymous195881 @Babiceck @petergyang @lmnprt @TulsiGabbard I don't support war it is Cristal clear.
If Putin is saying it is threat to his country when Ukraine is allowing US military on its land &amp; wants to be member of NATO.
Why is Ukrainian govt understand this.
As should have come up with solution on table.
Rather than being stubborn."
331,"RT @sotiridi: @elonmusk @YouTube #Update: Just in - Russian troops are using RIOT tear gas on civilians in #Kupyansk, #Ukraine, what is rep…"
332,"RT @MarkDittli: Very insightful thoughts by Fiona Hill on Putin. Highly recommended 
https://t.co/sB6JjYKW8A via @politico"
333,And if whatever Facebook employee is spying on me followed the news they would know that Ireland isn't currently at war with Russia.
334,"RT @komalgauthamTOI: One Indian student shot dead in the #war in #ukraine . Identified as Naveen from Karnataka, his friends said they had…"
335,"RT @googleeurope: Due to the ongoing war in Ukraine, we’re blocking YouTube channels connected to RT and Sputnik across Europe, effective i…"
336,"@egeaydiniz @MuhammedQuadr19 @__H2_SO4__ I'm not with neither of them, because there are nazis in Ukraine army. I hate nazi. And the NATO should be responsible to the war because it eastward expansion has turned Ukraine from a buffer state to a frontline"
337,"CLYTEMNESTRA: It’s what she does. The mother is always the villain, while the father gets to be the war hero. 
 ELECTRA: Maybe if you didn’t want to be the villain, you shouldn’t have committed murder."
338,"RT @IAPonomarenko: Oh guys, fucking hell… 
As the storm of Putin’s war gathered, I was begging my mom to leave Volnovakha. 
She did not wan…"
339,"overview on the russian-ukranian war

#forextrade1 #investmentclock #assets #forextrading #forexinvestment #forexprofit #forexeducation #freesignal #signalservices #signal #forexsignal #investor #investment #copytrade #gidelines #entry #entrycandle https://t.co/qX4GKhekFw"
340,RT @darren_cullen: A lot of people eager to rule out global thermonuclear war as an option without even trying it first. We never hear abou…
341,@AfricaFactsZone Why are they running? They sucked uKrain’s blood as usual and now they want to run. Ukrainians and their neighbors must do what is best for them and their children. They are not obliged to nurse African migrants. They have a war in their hands
342,"@TIME n the name of Sanity we are calling upon the Russian Generals and Admirals to Stop This War and stop the killing of innocent men, women and children in The Ukraine ! https://t.co/zppzyLt4iC"
343,RT @ThePubliusUSA: Russia killed 16 children yesterday in its senseless and unjustified war against Ukraine. Vladimir Putin is a monster.
344,Tom Hardy And Chris Pine On The Set Of 'This Means War' #flickr https://t.co/Y9EM1aw6oA
345,"@BlondePusteblum Ich geriet vor paar Monaten in eine Menschenmenge(Parkhauausgang war in einem EK-Zentrum)...ich war echt besorgt aber die um mich rum schienen total unbekümmert und Abstand einhalten wollten sie gar nicht. Frag mich schon, warum die sich keine Sorgen machen manchmal🤷🏻‍♀️"
346,"RT @Pimsuda_N: ชอบความเฮียวอร์มาก อินเนอร์มาเต็ม คิดได้ไงอะวัยรุ่นโตเกียว กร้าวววความเฮียและหนวดน้อยๆของเค้า 😳🤍

IGs. warwanarat 

War Wana…"
347,RT @QvSmsNjXgJCCEfI: ในตุ้เย็นมีแต่ของ ในสมองมีแต่วอร์...เอาเรื่อง ..คิดถึงสุดใจ นักเลงโตเกียว🤍🤍👽🖖   @warwanarat  #warwanarat    War wanara…
348,RT @blackleftaf: Apparently y’all need to hear this which is so sad: NUCLEAR WAR IS TRASH. WE WILL DIE.
349,RT @Reuters: Russian billionaire Fridman says: Ukraine war should stop https://t.co/u1UiMipwML https://t.co/Fvn7ZKWjd8
350,RT @sbreakintl: Intelligence acquired since the beginning of the Russian military operation over Ukraine has shown an immense lack of logis…
351,"RT @Facts_chek: @Nidhi India earlier evacuation  from war zones.

Gulf War, Kuwait, 1991: 150,000+
Op Sukoon, Lebanon, 2006: 2,300
Op Home…"
352,"@washingtonpost Terrorists and neo nazis plus the usual western mercenaries are preparing their suitcase...
Soon the civilian casualties will be a normality...
The hero of the west wants more war with players he can't control while people unfamiliar with western tactics cheer for him..."
353,RT @TadeuszGiczan: Two control cabinets of Belarusian railway in Baranovichi and Gomel regions were set on fire tonight blocking the rail t…
354,"RT @takigare3: ウクライナさん、「対ロシア徹底抗戦への参加」を条件に実戦経験を持つ囚人らを釈放すると発表

Ukraine releases prisoners with ""combat experience"" to help fight Russia https…"
355,"RT @kharge: India has never abandoned it's citizens &amp; always evacuated them from war zones.

Gulf War, Kuwait, 1991: 150,000+
Op Sukoon, Le…"
356,@Skipper_93 @thecentrist007 @MEAIndia Nobody is denying the grief at the loss of a life. But there's no need to go on the negative like this. There's a bloody war going on there! It is sad that an Indian lost his life.
357,"@champtgram @PGodjira @shanicucic96 @RubenJunger LFG🔥🔥🚀 Huge project here Boiz!
@Delinquent_NFT 
@Asx_Aus 
@vaughnmittens 
@KosherPlug 
@SOLBigBrain 
@BentoBoiNFT 
@0xBender 
@NeilBeaton8 
@sarah1porter 
@JINX9NFT 
@NFT_War 
@HaweraHalfCaste 
@garyvee 
@elliotrades 
@elonmusk 
@garyvee 
@TheRock 
@TheSlyStallone 
@Barack"
358,PK AA fan war aa ippudu 🤦🏼‍♂️ twitter gurunchi telidhe ga mostly antha chetha edhavale 🙏
359,"Happy new month!!!
May peace and protection find all our loved ones trapped in the war zone and other turbulent areas in JESUS NAME AMEN 🙏 

I'm hoping that the Nigerian government can hasten up their evacuation plans .....🙏🙏🙏"
360,"RT @SwedeninTH: To all our 🇹🇭 friends. Language matters. What is happening in Ukraine is not a crisis, not two parties that need to de-esca…"
361,กรี๊ดดหล่อมากลุคพนักงาน🔥🤍    @yinyin_anw Yin Anan @warwanarat War Wanarat #yinyin_anw #warwanarat #หยิ่นวอร์     #LANEIGExYINWAR https://t.co/y7mCgZFhj6
362,"RT @duty2warn: ""A state that commits war crimes against civilians shouldn't be a member of the UN Security Council."" - Volodymyr Zelenskyy"
363,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
364,"RT @APicuskin: This is hero of #Ukraine... His name is Nikolai Koychenko, sergant general, staring from his window in war torn #Kyiv...
#St…"
365,RT @KimDotcom: Lastly Russia pays reparations for damages caused by the invasion and supports Ukraine to achieve its full potential just as…
366,RT @Normanjam671: I'm so glad the Pandemic is over in time for World War Three.
367,RT @HenryJFoy: Scoop - first of the big Russian oligarchs breaks ranks with Putin as Ukrainian-born billionaire banker Mikhail Fridman says…
368,"RT @KyivPost: Ukrainian manufacturers will provide people who need help in the difficult war conditions with 1 million product sets, - Mini…"
369,"RT @armolts: “Sangat mengerikan, lucu, angker, dan menyayat hati,  The Girl and the Ghost  adalah kisah intens tentang kesedihan, keluarga,…"
370,"RT @GazWatty1: @DPJHodges The beat of the WAR DRUM continues relentlessly.

Dan, the only winners of war are the Central Banks and the Mili…"
371,"RT @MedvedevRussiaE: Today, some French minister has said that they declared an economic war on Russia. Watch your tongue, gentlemen! And d…"
372,@ILawson27 Our sanctions killed half a million Iraqi children. Half a million dead children. Then we invaded. My heart goes out to all victims of war including our own victims.
373,RT @jk_rowling: War shatters childhoods and tears families apart. @lumos has launched an appeal to help the c100k children trapped in orpha…
374,"RT @jimwaterson: Russia Today has stopped calling it a ""special military operation"" in Ukraine and is instead calling it a war. There's mor…"
375,"RT @Mashkodewashk: @white__lemons @JoshuaPotash You do realize that actual people live in Russia right. People that are not in this war, so…"
376,"RT @forseokgyu22: HELP RT~

✨ open sharing seventeen photocard ✨

💥 war coret di line 01 Maret 2022 jam 20.00 WIB
✅ GO line
📍jakarta, ina
💳…"
377,RT @AndrewFeinberg: This thermobaric explosion is a war crime.  https://t.co/4okmx2kUSU
378,"overview on the russian-ukranian war

#forextrade1 #investmentclock #assets #forextrading #forexinvestment #forexprofit #forexeducation #freesignal #signalservices #signal #forexsignal #investor #investment #copytrade #gidelines #entry #entrycandle https://t.co/aJKqLRaU9c"
379,War is cringe lmao 😂
380,"RT @MnarMuh: In 2002, the US passed the Hague Invasion Act that says the US can invade the Netherlands if the International Criminal Court…"
381,RT @Reuters: The moment dozens of diplomats from the European Union and United States walked out of a speech by Russian Foreign Minister Se…
382,"RT @amanpour: As the civilian population of Ukraine is being bombarded, President Zelensky is showing that he will not leave his people at…"
383,"@renNonsens @lil_lonn @yezu @JackyKemigisa They aren’t reporting on the proximity, other than the colour and characteristics of the people. That’s not the same as mentioning it because it’s in Europe. This war already received more attention than other wars currently going on. To be expected. The words are discriminatory"
384,"The effects of uncertainty.
https://t.co/io4TsKCTUG"
385,"@sbreakintl Definetly heartbreaking even if it's russian side...
It shows how bad war is..."
386,RT @jk_rowling: War shatters childhoods and tears families apart. @lumos has launched an appeal to help the c100k children trapped in orpha…
387,RT @indianaboognish: Imagine if the US put half as much energy into toppling our own oligarchs as it did into Russia’s? I mean- it’s not in…
388,RT @FirstSquawk: RUSSIAN FOREIGN MINISTRY SAYS WESTERN COUNTRIES KEEP PUSHING UKRAINE TOWARDS WAR - RIA
389,"@Kizito5 Jap. war ja eigentlich zu erwarten, trotzdem bestürzt es mich zutiefst"
390,"Economic War ""We are waging total economic and financial war on Russia,"" he said. According to an AFP news agency report of his interview, Mr Le Maire"
391,"Regardless, if we continue to have an overvixed wide range, last Thursday seems like a low. However, an unexpected large move by 🇷🇺 (oil embargo or nuclear war) would breach that low. Also of note, bonds are rallying hard as well as gold, another sign of hedging."
392,"War 3...gasskeuun @persib 
#PERSIBDAY https://t.co/PPXKE0iplY"
393,"RT @WalidPhares: A full scale #no_fly_zone NFZ over all of Ukraine is too late, would lead to direct #Russia-NATO clash.

A limited NFZ alo…"
394,"RT @FedorovMykhailo: Joint forces of Ukrainian music industry, @mintsyfra and Slukh media appeal to the @AppleMusic and @Spotify leadership…"
395,being slavic during all this means the TV is on 24/7 and the war is the only topic at home like this is horrible
396,"RT @marwanbishara: Yes, the Russian invasion requires a tough response, but it should be one that opens the door for peace. The West has no…"
397,"Mouth For No War

#ASongOrMovieForPeace https://t.co/4tTv4I8WrV"
398,RT @IanDunt: Oh for heaven's sake. https://t.co/0oriQpgj4z
399,RT @bob_bangalore: Russian people facing 15 years in jail if they say or pass on anything negative about the Ukranian invasion. So their pr…
400,RT @deadeyebrakeman: Fans of what? The war?
401,"RT @AP: More than 70 Ukrainian soldiers were killed after Russian artillery hit a military base in Okhtyrka, a city between Kharkiv and Kyi…"
402,"""The Russian despot should know this as well as anyone. As a child, he grew up on a diet of stories about German atrocities and Russian bravery in the siege of Leningrad. He is now producing similar stories, but casting himself in the role of Hitler.""

https://t.co/Gxq64fI61m"
403,"RT @guwahatitimes6: #BREAKINGNEWS 
♦️Indian student Naveen was waiting to buy food when he was killed in shelling in Ukraine.
♦️Naveen hail…"
404,"RT @Pimsuda_N: ชอบความเฮียวอร์มาก อินเนอร์มาเต็ม คิดได้ไงอะวัยรุ่นโตเกียว กร้าวววความเฮียและหนวดน้อยๆของเค้า 😳🤍

IGs. warwanarat 

War Wana…"
405,@IrishMirror @KremlinRussia_E you must be held responsible for the genocide of innocent Ukrainians. You have imposed an unnecessary war on them. @UNHumanRights @UN #UkraineRussiaWar #Ukraine #UkraineInvasion #UkraineUnderAttaсk
406,"RT @welchsbinn: https://t.co/JmKOIcE31Y
측근들중에서도 아 이거 아닌데 하는 사람들 있었을텐데도 푸틴이 우크라 3일컷 낼줄알고 들어간 이유는 이 영상만 봐도 알겠음. 독재자한테 입바른소리 할 강심장은 잘 없고 갈수록 예…"
407,"RT @SkyNews: ""This is the price of freedom"".

Ukrainian president Volodymyr Zelenskyy says ""dozens"" of people have been killed following mi…"
408,RT @VeraMBergen: Ukraine's Ambassador to the UN read out text messages between a Russian soldier and his mother moments before he was kille…
409,"RT @MedvedevRussiaE: Today, some French minister has said that they declared an economic war on Russia. Watch your tongue, gentlemen! And d…"
410,@lindagoodliffe @shuboogie That would be tantamount to declaring war on Russia. It's much bigger than just blowing up a convoy. Putin knows this...why do you think he's so bold? Because no one wants to go to war with that severely damaged idiot.
411,"RT @bademjanbitch: oh cool we've moved into the ""liberals can only understand world events by weirdly inserting a sexual undertone"" phase o…"
412,"@bourgeoislayer @seb_stark @doktor_strato Glaube bei allen linken Gruppen haha

Bekomme immer nur über AK bisschen mit seit ich so krank war"
413,RT @hsunil10: @ichiranjeeb @ByRakeshSimha Read about Cuban crisis ! US threatened nuclear war because soviet nuclear missile were send to C…
414,"Just a reminder :-
Even leaders can take dumb decisions (for you)!

#war"
415,"@Ida44368218 @DerSachse63 @Coenni1 Da geht das jetzt schon...vor Jahren, über'n Marktplatz lallend geschwankt und versucht mein 'Spittel' zu verkaufen😂😂😂....herrlich war's....kommt nie wieder"
416,"RT @ManOnelife: ปูตินบอกโลกว่า “This is not a WAR, it’s called Special Military Operation!” เหมือนกันล่ะครับ ที่ตอนนี้ปูตินประณามยุโรปอย่าง…"
417,"RT @armolts: “Sangat mengerikan, lucu, angker, dan menyayat hati,  The Girl and the Ghost  adalah kisah intens tentang kesedihan, keluarga,…"
418,"RT @ts_writing: Great thread from @carolecadwalla about how we've been at war for 8 years. I tried to explain this some years ago, very muc…"
419,RT @Scaramucci: Putin is a war criminal.
420,"RT @AlanRMacLeod: To many in the West, war is simply another form of entertainment. https://t.co/TA90KY70Jc"
421,RT @sumaya_jirde: «This type of commentary reflects the pervasive mentality in Western journalism of normalizing tragedy in parts of the wo…
422,RT @TheDSingularity: Why does a 70-year old man start a war that kills a ten year old girl? It's heartbreaking. This is our international p…
423,RT @Reuters: CORRECTION: The movement of jailed Russian opposition leader Alexei Navalny called for a campaign of civil disobedience to pro…
